anio,sexo,edades,id_edad
2017,Mujer               ,18,1997
2017,Mujer               ,19,1022
2017,Mujer               ,20,1461
2017,Mujer               ,21,1231
2017,Mujer               ,22,1412
2017,Mujer               ,23,1508
2017,Mujer               ,24,1595
2017,Mujer               ,25,1681
2017,Mujer               ,26,1717
2017,Mujer               ,27,1786
2017,Mujer               ,28,1713
2017,Mujer               ,29,1599
2017,Mujer               ,30,1841
2017,Mujer               ,31,1404
2017,Mujer               ,32,1664
2017,Mujer               ,33,1488
2017,Mujer               ,34,1482
2017,Mujer               ,35,1616
2017,Mujer               ,36,1454
2017,Mujer               ,37,1291
2017,Mujer               ,38,1362
2017,Mujer               ,39,1117
2017,Mujer               ,40,1295
2017,Mujer               ,41,1007
2017,Mujer               ,42,1202
2017,Mujer               ,43,1058
2017,Mujer               ,44,903
2017,Mujer               ,45,1083
2017,Mujer               ,46,878
2017,Mujer               ,47,836
2017,Mujer               ,48,741
2017,Mujer               ,49,653
2017,Mujer               ,50,750
2017,Mujer               ,51,522
2017,Mujer               ,52,635
2017,Mujer               ,53,523
2017,Mujer               ,54,513
2017,Mujer               ,55,463
2017,Mujer               ,56,403
2017,Mujer               ,57,405
2017,Mujer               ,58,328
2017,Mujer               ,59,322
2017,Mujer               ,60,376
2017,Mujer               ,61,252
2017,Mujer               ,62,299
2017,Mujer               ,63,252
2017,Mujer               ,64,206
2017,Mujer               ,65,196
2017,Mujer               ,66,153
2017,Mujer               ,67,151
2017,Mujer               ,68,139
2017,Mujer               ,69,123
2017,Mujer               ,70,138
2017,Mujer               ,71,96
2017,Mujer               ,72,104
2017,Mujer               ,73,68
2017,Mujer               ,74,73
2017,Mujer               ,75,56
2017,Mujer               ,76,39
2017,Mujer               ,77,40
2017,Mujer               ,78,34
2017,Mujer               ,79,18
2017,Mujer               ,80,25
2017,Mujer               ,81,23
2017,Mujer               ,82,18
2017,Mujer               ,83,10
2017,Mujer               ,84,5
2017,Mujer               ,85,7
2017,Mujer               ,86,4
2017,Mujer               ,87,7
2017,Mujer               ,88,4
2017,Mujer               ,89,1
